"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_03054",5.38879020536227,0.0636257963761137,0.777348871633285,0.0818497314370956,0.934766208742494,0.963136545038959
"AENJPLPP_02409",13.9442204996432,-0.0382257836117397,0.472957793785939,-0.0808228220656846,0.935582858058416,0.96322838574599
"AENJPLPP_02914",6.04862829986156,-0.0598707799842712,0.737365133941325,-0.0811955667936902,0.935286425063281,0.96322838574599
"AENJPLPP_00734",5.62075643080043,-0.0589006043810101,0.745337770631339,-0.0790253851366183,0.937012431781787,0.964325269863261
"AENJPLPP_00270",10.3988623092158,-0.0424921654580573,0.551862769106779,-0.07699770275649,0.938625372478702,0.965582397929974
"AENJPLPP_01659",4.75639668520692,0.0606052014907369,0.791469688080283,0.0765729912382815,0.93896324572118,0.965582397929974
"AENJPLPP_00615",20.5406616618835,-0.0291056662327598,0.394776852918609,-0.0737268814460114,0.941227708692239,0.967535315456929
"AENJPLPP_00008",4.92546461414536,0.0560031145918929,0.775323872936495,0.0722318975936911,0.942417360855649,0.968382293964206
"AENJPLPP_01029",1.13828099015244,0.119149521223108,1.66317516296406,0.0716397910913749,0.942888572701248,0.968490667382818
"AENJPLPP_00099",2.84421859703025,-0.0761098954275242,1.07713108872675,-0.0706598261103874,0.943668494999621,0.968621998162704
"AENJPLPP_02765",4.30466058803053,0.0603929060876146,0.855909644901877,0.0705599083353455,0.943748019357921,0.968621998162704
"AENJPLPP_01874",8.68383245499625,0.0414497748702008,0.591340315746628,0.070094620249029,0.944118348591529,0.968626651325211
"AENJPLPP_00025",25.1430916153122,-0.0248357189926947,0.362881728412949,-0.0684402576600173,0.94543517596272,0.969446870542196
"AENJPLPP_00122",23.5202597879633,-0.0260901003825545,0.38271914960037,-0.0681703552325443,0.94565002515502,0.969446870542196
"AENJPLPP_02658",13.4197381195592,-0.0321885244562154,0.48338511905057,-0.066589812527613,0.946908256169944,0.970361092236072
"AENJPLPP_02987",2.11781984665895,-0.0774055670687525,1.20288744759037,-0.0643498003273806,0.948691700664673,0.97181262025534
"AENJPLPP_00150",7.21591764981741,-0.0401190952095657,0.641891953912571,-0.0625013212348664,0.950163609805609,0.97219213244407
"AENJPLPP_01769",14.2912016332845,0.0300506736399222,0.475308239962038,0.0632235486645935,0.949588493165979,0.97219213244407
"AENJPLPP_02633",6.54399739790475,0.0425349854157712,0.67648529182182,0.0628764378619699,0.949864897573082,0.97219213244407
"AENJPLPP_00229",5.25577006750545,-0.0440365182411732,0.774915356793253,-0.056827520393201,0.954682591252523,0.975371377114867
"AENJPLPP_01025",23.8178823345495,-0.0238380458357218,0.414421874030874,-0.057521205634879,0.954130014419039,0.975371377114867
"AENJPLPP_01591",132.497475347958,0.0106118190412369,0.18699176053238,0.0567501958964622,0.954744187870746,0.975371377114867
"AENJPLPP_01919",29.4779514619584,0.0195177445802535,0.340553947767959,0.057311755474208,0.954296856231696,0.975371377114867
"AENJPLPP_01749",3.05907092897351,0.0522587361873928,0.985085027737186,0.0530499750944698,0.957692089375741,0.977628624775236
"AENJPLPP_02407",5.81471729246803,-0.0378706761556757,0.709828535332863,-0.0533518649513249,0.957451556756071,0.977628624775236
"AENJPLPP_02319",1.59545008400903,-0.0700733014003289,1.34678150977728,-0.0520301926419508,0.958504635739467,0.978081030997344
"AENJPLPP_02329",3.40823259442808,-0.0456047670741314,0.924853968983195,-0.0493102355653728,0.960672062640531,0.979915108579402
"AENJPLPP_01906",8.8995349584133,0.0285990213291097,0.591028487547255,0.0483885665948092,0.961406571167708,0.980286715614975
"AENJPLPP_00061",1.04186305579093,0.079253306460514,1.71949620191715,0.0460910040813995,0.963237716092956,0.980698005049235
"AENJPLPP_00153",6.59053443126497,0.03040631275949,0.678281634358549,0.0448284476819798,0.964244049908984,0.980698005049235
"AENJPLPP_00415",2.70261009692397,0.0473840010673397,1.07440190119741,0.0441026779778877,0.964822558145833,0.980698005049235
"AENJPLPP_01518",68.2411223621196,-0.0110089442624294,0.247306340462955,-0.0445154145333305,0.964493565136068,0.980698005049235
"AENJPLPP_02461",455.342947992916,0.00752084784639184,0.165186550599931,0.0455294200349685,0.963685325409846,0.980698005049235
"AENJPLPP_02731",3.51271354745938,0.0438194900120574,1.00921698776832,0.0434192949020363,0.965367297096719,0.980698005049235
"AENJPLPP_02901",1.35868246273273,-0.0717965770207084,1.52195170931839,-0.0471740177964404,0.962374535255816,0.980698005049235
"AENJPLPP_02902",10.4443466255091,-0.0235965677454127,0.545763208122663,-0.0432359077970482,0.965513481557159,0.980698005049235
"AENJPLPP_03003",23.1209253268819,0.0174201567280706,0.382569172087502,0.0455346588252705,0.963681149790568,0.980698005049235
"AENJPLPP_03152",1.38578430122666,-0.0669641651357392,1.51519708654895,-0.0441950197305739,0.964748951855817,0.980698005049235
"AENJPLPP_01519",12.8574416995783,0.020499808627378,0.500379259283316,0.0409685418551111,0.967320974760145,0.981404575158952
"AENJPLPP_02034",1.83413774605806,-0.0549805288399222,1.34096428635624,-0.0410007405859547,0.967295305457872,0.981404575158952
"AENJPLPP_02457",23.1603805114912,0.0157357520987685,0.382263779402655,0.0411646432297562,0.967164640383039,0.981404575158952
"AENJPLPP_01966",7.93159193211021,0.0251348673317548,0.627780776318759,0.0400376505300832,0.9680631095633,0.98178135355175
"AENJPLPP_02405",1.69359548248189,0.0511651014737312,1.35903956524621,0.0376479852258472,0.969968348341469,0.983010741622837
"AENJPLPP_02719",1.57611117747343,-0.0507147519991746,1.34929919487086,-0.0375859944124761,0.97001777487178,0.983010741622837
"AENJPLPP_01776",9.82593637446207,-0.0207733639813188,0.566091603024409,-0.0366961175017166,0.970727304344618,0.983353443727831
"AENJPLPP_01221",52.1336747448739,0.00962075156257988,0.266889175139514,0.0360477398813598,0.971244292748873,0.983500912886813
"AENJPLPP_00057",4.88525316641188,0.027767344152042,0.78411797684691,0.0354122019542261,0.971751055062758,0.98363791812163
"AENJPLPP_01267",12.8317672384843,0.0160754137457883,0.491546242837192,0.0327037668989217,0.973910819948616,0.985447402072577
"AENJPLPP_01611",2.97643787495406,-0.0326799805756136,1.08564919946658,-0.0301017866468012,0.975985875839954,0.987169823997019
"AENJPLPP_01943",1.59535379567835,-0.0387528233397979,1.34571571201555,-0.0287971842743485,0.977026346573659,0.98784488954832
"AENJPLPP_00200",108.034849685333,0.00534424329477254,0.202582624285257,0.0263805610852751,0.978953798760898,0.987984760041399
"AENJPLPP_01137",5.48011787889358,-0.0198512353746884,0.75523763698301,-0.0262847538345537,0.979030215388456,0.987984760041399
"AENJPLPP_01201",55.0096742939352,0.00731142945803375,0.261589930777298,0.0279499651852359,0.977702057535682,0.987984760041399
"AENJPLPP_01978",24.091133601536,0.010277443414754,0.378201619106911,0.0271745092975097,0.978320546829947,0.987984760041399
"AENJPLPP_02750",7.36897193702288,0.0192447201649206,0.719308296755998,0.026754481008647,0.978655559101098,0.987984760041399
"AENJPLPP_02816",29.9636497717088,0.0085934934729863,0.33331633498969,0.0257817951624006,0.979431382378697,0.98801306687192
"AENJPLPP_02152",21.7256382468257,-0.00989234024792329,0.413709913987128,-0.0239112960880872,0.980923363884555,0.989141305242309
"AENJPLPP_02889",3.5065705695623,-0.0202862641074286,0.924891042505422,-0.0219336799418832,0.982500858523612,0.990354881374391
"AENJPLPP_01393",2.87992365226187,-0.0215739339149801,1.03044972887717,-0.0209364254367732,0.98329636968911,0.990779599291006
"AENJPLPP_02455",64.6826504878631,0.00435282418584124,0.25072880371984,0.0173606866114394,0.986148871964477,0.99327585125977
"AENJPLPP_00458",37.8714666991419,-0.00490044213584942,0.31067085824177,-0.0157737425505027,0.987414896240318,0.993825196826873
"AENJPLPP_02075",63.3928664030497,0.00395102682740918,0.251079878438017,0.0157361348587101,0.987444899113106,0.993825196826873
"AENJPLPP_00504",3.82807034282891,-0.0114806821606328,0.927706099375696,-0.0123753440538536,0.990126156073902,0.994722841494297
"AENJPLPP_00713",15.2682742286906,-0.00608658704694134,0.505274124859084,-0.0120461087308574,0.990388828270621,0.994722841494297
"AENJPLPP_01062",7.83658660289763,-0.00751963329494152,0.645089498968423,-0.0116567287282871,0.990699486743286,0.994722841494297
"AENJPLPP_02135",14.6141040427683,-0.0053034055485704,0.468405142130228,-0.0113222615884433,0.9909663352953,0.994722841494297
"AENJPLPP_02334",16.6177969715231,-0.00629887143312598,0.458708853876798,-0.013731741560885,0.989043999728612,0.994722841494297
"AENJPLPP_02735",50.9309786527121,0.00328680419709157,0.275566816010457,0.011927431048036,0.990483512558912,0.994722841494297
"AENJPLPP_03006",27.5436420193924,0.00430752635658101,0.351243469631073,0.0122636482355256,0.990215269680163,0.994722841494297
"AENJPLPP_00398",1.72854302180159,-0.0138817504934834,1.40360383167586,-0.00989007737098369,0.992108988602168,0.995492459953975
"AENJPLPP_02680",1.08255719796555,0.0133920860385441,1.70463863965881,0.00785626098515783,0.993731675135413,0.996742983241884
"AENJPLPP_01765",67.0067966928961,0.00174317154688775,0.245338317744033,0.00710517445019103,0.994330938703435,0.996966423963156
"AENJPLPP_01311",1.05364512649282,0.0105119162564778,1.71668660721615,0.00612337523476364,0.995114283972442,0.997374195291078
"AENJPLPP_00600",2.63348657771776,-0.00519026481255523,1.04610324127654,-0.00496152254171554,0.996041294007613,0.997548164346505
"AENJPLPP_02474",2.66441497829389,-0.00564503911821582,1.04490908362389,-0.0054024213270671,0.995689512399952,0.997548164346505
"AENJPLPP_02604",1.87827204420443,-0.00436813074777537,1.28316325834932,-0.00340418938849184,0.997283855090884,0.998414989898171
"AENJPLPP_02039",1.06331457976063,-0.00275894237237393,1.69564863507701,-0.00162707197428825,0.998701784965208,0.999079080690545
"AENJPLPP_02484",25.8070082998521,0.000636747649168427,0.382829335257307,0.00166326765095067,0.998672905032716,0.999079080690545
"AENJPLPP_01103",3.61840456004653,-0.000492065111893445,0.946131315679371,-0.000520081201984227,0.99958503525728,0.99958503525728
"AENJPLPP_00019",0,NA,NA,NA,NA,NA
"AENJPLPP_00020",0,NA,NA,NA,NA,NA
"AENJPLPP_00023",0.933985175227575,2.43922870527113,1.90760784603979,1.27868456314802,0.201008157855019,NA
"AENJPLPP_00028",0.441753037733873,-0.361228705378637,2.49859473899662,-0.144572747128932,0.885048215774481,NA
"AENJPLPP_00030",0.953763745583284,-1.89426164650818,1.87018598672481,-1.01287340401129,0.311120633451695,NA
"AENJPLPP_00041",0.478046520610994,1.3462366500998,2.4490112436669,0.54970619411452,0.582520907702618,NA
"AENJPLPP_00049",0.94440725885078,1.4635292849812,1.89689132321542,0.771540924390106,0.440386374919995,NA
"AENJPLPP_00054",0,NA,NA,NA,NA,NA
"AENJPLPP_00055",0,NA,NA,NA,NA,NA
"AENJPLPP_00062",0.810281983675513,0.76858197610964,2.08089732181026,0.369351225576579,0.711865948031,NA
"AENJPLPP_00069",0.697313842281956,3.14578398549027,2.23590457047214,1.40694018297301,0.15944512690566,NA
"AENJPLPP_00070",0.739991054051987,-0.169797246524738,2.07347200738171,-0.0818903008674565,0.934733947321054,NA
"AENJPLPP_00071",0,NA,NA,NA,NA,NA
"AENJPLPP_00073",0.739894765721302,-0.0999511408070525,1.99040050003771,-0.0502165975165093,0.959949785334719,NA
"AENJPLPP_00076",0.744199136688113,-1.38146746813278,2.10144402557751,-0.657389609867496,0.510930430711776,NA
"AENJPLPP_00078",0,NA,NA,NA,NA,NA
"AENJPLPP_00079",0,NA,NA,NA,NA,NA
"AENJPLPP_00080",0,NA,NA,NA,NA,NA
"AENJPLPP_00081",0,NA,NA,NA,NA,NA
"AENJPLPP_00082",0.595245593396215,2.98649719766568,2.33643362635527,1.27822899138996,0.201168696714492,NA
"AENJPLPP_00083",0.266460697055899,1.52162516071186,3.3510175907527,0.454078535699382,0.649772301619617,NA
