"","BH1","BH2","BH3","Serum1","Serum2","Serum3"
"AENJPLPP_01014",46.4988669387059,47.3813311243764,49.9210440153175,20.7839343703601,18.740739091398,22.6558715409028
"AENJPLPP_01015",5.16654077096733,4.01536704443868,6.14412849419293,4.79629254700618,3.94541875608379,2.15770205151455
"AENJPLPP_01016",39.6101459107495,41.7598172621623,44.5449315828987,9.59258509401236,11.8362562682514,9.7096592318155
"AENJPLPP_01017",5.16654077096733,5.62151386221415,6.14412849419293,6.39505672934157,2.95906406706284,4.31540410302911
"AENJPLPP_01018",13.7774420559129,11.2430277244283,9.98420880306351,9.59258509401236,3.94541875608379,6.47310615454366
"AENJPLPP_01019",6.88872102795643,4.01536704443868,2.30404818532235,11.1913492763478,6.90448282314663,10.7885102575728
"AENJPLPP_01020",176.523476341384,180.691516999741,248.837204014814,20.7839343703601,33.5360594267122,20.4981694893883
"AENJPLPP_01021",393.518188722011,395.112117172766,463.881701311566,57.5555105640742,87.7855673228644,67.9676146227085
"AENJPLPP_01022",98.1642746483792,101.990322928742,106.754232586602,22.3826985526955,34.5224141157332,28.0501266696892
"AENJPLPP_01023",192.88418878278,215.223673581913,291.07808741239,36.771576193714,41.4268969388798,47.4694451333202
"AENJPLPP_01024",31.8603347542985,21.6829820399689,24.5765139767717,19.1851701880247,21.6998031584609,23.7347225666601
"AENJPLPP_01025",19.8050729553747,29.7137161288462,23.8084979149976,7.99382091167697,33.5360594267122,28.0501266696892
"AENJPLPP_01026",247.993957006432,239.315875848545,250.373236138362,313.357779737737,233.766061297965,226.558715409028
"AENJPLPP_01027",29.2770643688148,26.5014224932953,26.1125461003199,52.759218017068,56.222217274194,43.1540410302911
"AENJPLPP_01028",27.5548841118257,43.3659640799377,40.7048512740282,11.1913492763478,14.7953203353142,17.2616164121164
"AENJPLPP_01029",1.72218025698911,0,1.53603212354823,1.59876418233539,1.9727093780419,0
"AENJPLPP_01030",6.88872102795643,1.60614681777547,6.91214455596705,1.59876418233539,6.90448282314663,5.39425512878639
"AENJPLPP_01031",48.221047195695,37.7444502177236,62.2093010037034,92.7283225754528,124.280690816639,121.910165910572
"AENJPLPP_01032",105.91408580483,72.2766067998962,109.058280771924,73.5431523874281,80.8810844997177,90.6234861636113
"AENJPLPP_01033",18.0828926983856,17.6676149955302,13.8242891119341,9.59258509401236,4.93177344510474,7.55195718030094
"AENJPLPP_01034",92.1366437489173,86.7319281598755,74.4975579920893,25.5802269173663,31.5633500486703,22.6558715409028
"AENJPLPP_01035",44.7766866817168,48.1844045332642,48.3850118917693,35.1728120113787,32.5497047376913,28.0501266696892
"AENJPLPP_01036",5.16654077096733,4.01536704443868,2.30404818532235,3.19752836467079,1.9727093780419,3.23655307727183
"AENJPLPP_01037",20.6661630838693,11.2430277244283,3.84008030887058,7.99382091167697,20.7134484694399,7.55195718030094
"AENJPLPP_01038",1.72218025698911,1.60614681777547,0.768016061774116,1.59876418233539,0,1.07885102575728
"AENJPLPP_01039",3.44436051397822,0.803073408887736,3.84008030887058,3.19752836467079,6.90448282314663,6.47310615454366
"AENJPLPP_01040",60.2763089946188,51.3966981688151,61.4412849419293,68.7468598404219,42.4132516279008,61.4945084681648
"AENJPLPP_01041",14.6385321844074,16.8645415866425,23.0404818532235,15.9876418233539,15.7816750243352,7.55195718030094
"AENJPLPP_01042",4.30545064247277,4.01536704443868,3.84008030887058,9.59258509401236,3.94541875608379,2.15770205151455
"AENJPLPP_01043",18.0828926983856,18.4706884044179,18.4323854825788,14.3888776410185,8.87719220118853,11.86736128333
"AENJPLPP_01044",133.468969916656,138.931699737578,119.810505636762,94.3270867577882,68.0584735424454,75.5195718030094
"AENJPLPP_01045",83.5257424639718,66.6550929376821,75.2655740538634,36.771576193714,39.4541875608379,34.5232328242329
"AENJPLPP_01046",75.7759313075208,78.7011940709981,76.0335901156375,23.9814627350309,37.481478182796,35.6020838499901
"AENJPLPP_01047",20.6661630838693,16.8645415866425,19.2004015443529,20.7839343703601,16.7680297133561,15.1039143606019
"AENJPLPP_01048",15.499622312902,20.8799086310811,21.5044497296753,11.1913492763478,7.89083751216758,7.55195718030094
"AENJPLPP_01049",11.1941716704292,8.8338074977651,11.5202409266117,7.99382091167697,7.89083751216758,10.7885102575728
"AENJPLPP_01050",9.4719914134401,16.0614681777547,18.4323854825788,19.1851701880247,4.93177344510474,7.55195718030094
"AENJPLPP_01051",3.44436051397822,5.62151386221415,4.6080963706447,1.59876418233539,1.9727093780419,1.07885102575728
"AENJPLPP_01052",0,0,0,0,0,0
"AENJPLPP_01053",62.8595793801025,74.6858270265594,76.0335901156375,118.308549492819,99.6218235911157,116.515910781786
"AENJPLPP_01054",1.72218025698911,3.21229363555094,4.6080963706447,6.39505672934157,2.95906406706284,2.15770205151455
"AENJPLPP_01055",23.249433469353,33.7290831732849,40.7048512740282,51.1604538347326,95.6764048350319,98.1754433439122
"AENJPLPP_01056",36.1657853967713,24.0922022666321,31.4886585327388,134.296191316173,169.653006511603,170.45846206965
"AENJPLPP_01057",65.4428497655861,74.6858270265594,57.6012046330587,11.1913492763478,12.8226109572723,17.2616164121164
"AENJPLPP_01058",127.441339017194,104.399543155406,98.3060559070869,84.7345016637758,96.6627595240529,79.8349759060385
"AENJPLPP_01059",15.499622312902,17.6676149955302,31.4886585327388,17.5864060056893,11.8362562682514,21.5770205151455
"AENJPLPP_01060",26.6937939833312,33.7290831732849,36.8647709651576,11.1913492763478,22.6861578474818,25.8924246181747
"AENJPLPP_01061",7.74981115645099,8.03073408887736,11.5202409266117,4.79629254700618,4.93177344510474,3.23655307727183
"AENJPLPP_01062",4.30545064247277,7.22766067998962,12.2882569883859,4.79629254700618,10.8499015792304,7.55195718030094
"AENJPLPP_01063",17.2218025698911,20.0768352221934,13.8242891119341,17.5864060056893,15.7816750243352,21.5770205151455
"AENJPLPP_01064",15.499622312902,8.8338074977651,9.98420880306351,22.3826985526955,10.8499015792304,8.63080820605822
"AENJPLPP_01065",130.024609402678,153.387021097558,162.819405096113,153.481361504198,211.079903450483,206.06054591964
"AENJPLPP_01066",129.163519274183,149.371654053119,135.938842934019,81.5369732991051,121.321626749577,97.0965923181549
